0,0.62,0.59,0.61
7,0.665,0.775,0.63
15,0.825,1.265,0.73
23,1.095,2.075,0.895
31,1.58,3.425,1.17
39,2.22,5.295,1.565
47,2.945,7.25,1.98
55,3.605,9.035,2.335
63,4.34,11.07,2.77
71,5.075,13,3.15
79,5.955,15.46,3.645
87,6.84,18.03,4.155
95,7.895,20.98,4.745
103,8.985,23.87,5.3
111,10.37,27.765,6.055
119,11.895,31.79,6.865
127,13.395,35.78,7.68
135,15.23,40.725,8.66
143,16.905,45.325,9.575
151,18.775,50.2,10.53
159,20.99,56.19,11.705
167,23.05,61.98,12.805
175,25.34,68.15,13.995
183,27.8,75.035,15.285
191,30.34,82.27,16.68
199,33.215,90.215,18.175
207,36.16,98.435,19.67
215,38.79,105.25,20.98
223,41.605,113,22.35
231,44.245,120.05,23.58
239,46.6,126.05,24.65
247,48.315,130.35,25.39
255,49.735,133.75,25.975
