0,0.01,0,0
8,0.02,0.02,0.02
16,0.06,0.09,0.03
24,0.12,0.22,0.05
32,0.24,0.48,0.09
40,0.39,0.85,0.14
48,0.57,1.35,0.24
56,0.81,1.99,0.33
64,1.12,2.8,0.44
72,1.43,3.79,0.6
80,1.8,4.9,0.79
88,2.23,6.16,0.99
96,2.71,7.68,1.2
104,3.26,9.46,1.48
112,3.84,11.16,1.74
120,4.53,13.35,2.07
128,5.23,15.52,2.44
136,5.99,17.99,2.77
144,6.79,20.49,3.21
152,7.72,23.49,3.65
160,8.8,26.67,4.18
168,9.84,29.58,4.62
176,10.91,33.27,5.21
184,12.03,37.3,5.79
192,13.47,41.42,6.36
200,14.79,45.14,7.01
208,16.22,49.36,7.61
216,17.73,54.5,8.35
224,19.21,58.94,9.14
232,20.95,64.76,9.95
240,23,69.55,10.79
248,24.69,76.01,11.6
255,26.16,79.53,12.42
